,Title,Awards,Year,is_winner,Channel
110,feud: bette and joan,"Supporting Actor, TV Movie/Limited Series",2017,False,FX
111,big little lies,"Supporting Actor, TV Movie/Limited Series",2017,True,HBO
112,fargo,"Supporting Actor, TV Movie/Limited Series",2017,False,FX
113,feud: bette and joan,"Supporting Actor, TV Movie/Limited Series",2017,False,FX
114,the night of,"Supporting Actor, TV Movie/Limited Series",2017,False,HBO
115,big little lies,Directing for a TV Movie/Limited Series,2017,True,HBO
116,fargo,Directing for a TV Movie/Limited Series,2017,False,FX
117,feud: bette and joan,Directing for a TV Movie/Limited Series,2017,False,FX
118,genius,Directing for a TV Movie/Limited Series,2017,False,National Geographic
119,the night of,Directing for a TV Movie/Limited Series,2017,False,HBO
120,the night of,Directing for a TV Movie/Limited Series,2017,False,HBO
121,baskets,"Supporting Actor, Comedy",2017,False,FX
122,saturday night live,"Supporting Actor, Comedy",2017,True,NBC
123,unbreakable kimmy schmidt,"Supporting Actor, Comedy",2017,False,Netflix
124,modern family,"Supporting Actor, Comedy",2017,False,ABC
125,veep,"Supporting Actor, Comedy",2017,False,HBO
126,veep,"Supporting Actor, Comedy",2017,False,HBO
127,the americans,Writing for a Drama Series,2017,False,FX
128,better call saul,Writing for a Drama Series,2017,False,Netflix
129,the crown,Writing for a Drama Series,2017,False,Netflix
130,the handmaid’s tale,Writing for a Drama Series,2017,True,
131,stranger things,Writing for a Drama Series,2017,False,Netflix
132,westworld,Writing for a Drama Series,2017,False,HBO
133,billy on the street,Variety Sketch Series,2017,False,truTV
134,documentary now!,Variety Sketch Series,2017,False,IFC
135,drunk history,Variety Sketch Series,2017,False,Comedy Central
136,portlandia,Variety Sketch Series,2017,False,IFC
137,saturday night live,Variety Sketch Series,2017,True,NBC
138,tracy ullman’s show,Variety Sketch Series,2017,False,
139,atlanta,Directing for a Comedy Series,2017,True,FX
140,silicon valley,Directing for a Comedy Series,2017,False,HBO
141,veep,Directing for a Comedy Series,2017,False,HBO
142,veep,Directing for a Comedy Series,2017,False,HBO
143,veep,Directing for a Comedy Series,2017,False,HBO
144,feud: bette and joan,"Supporting Actress, TV Movie/Limited Series",2017,False,FX
145,big little lies,"Supporting Actress, TV Movie/Limited Series",2017,True,HBO
146,feud: bette and joan,"Supporting Actress, TV Movie/Limited Series",2017,False,FX
147,american crime,"Supporting Actress, TV Movie/Limited Series",2017,False,ABC
148,the wizard of lies,"Supporting Actress, TV Movie/Limited Series",2017,False,HBO
149,big little lies,"Supporting Actress, TV Movie/Limited Series",2017,False,HBO
150,saturday night live,"Supporting Actress, Comedy",2017,False,NBC
151,veep,"Supporting Actress, Comedy",2017,False,HBO
152,transparent,"Supporting Actress, Comedy",2017,False,Amazon Studios
153,saturday night live,"Supporting Actress, Comedy",2017,False,NBC
154,transparent,"Supporting Actress, Comedy",2017,False,Amazon Studios
155,saturday night live,"Supporting Actress, Comedy",2017,True,NBC
156,better call saul,"Supporting Actor, Drama",2017,False,Netflix
157,this is us,"Supporting Actor, Drama",2017,False,ABC
158,stranger things,"Supporting Actor, Drama",2017,False,Netflix
159,house of cards,"Supporting Actor, Drama",2017,False,Netflix
160,the crown,"Supporting Actor, Drama",2017,True,Netflix
161,homeland,"Supporting Actor, Drama",2017,False,Showtime
162,westworld,"Supporting Actor, Drama",2017,False,HBO
0,the americans,Drama Series,2018,False,FX
1,the crown,Drama Series,2018,False,Netflix
2,game of thrones,Drama Series,2018,True,HBO
3,the handmaid’s tale,Drama Series,2018,False,
4,stranger things,Drama Series,2018,False,Netflix
5,this is us,Drama Series,2018,False,ABC
6,estworld,Drama Series,2018,False,
7,atlanta,Comedy Series,2018,False,FX
8,barry,Comedy Series,2018,False,HBO
9,black-ish,Comedy Series,2018,False,ABC
10,curb your enthusiasm,Comedy Series,2018,False,HBO
11,glow,Comedy Series,2018,False,Netflix
12,the marvelous mrs. maisel,Comedy Series,2018,True,
13,silicon valley,Comedy Series,2018,False,HBO
14,unbreakable kimmy schmidt,Comedy Series,2018,False,Netflix
15,the alienist,Limited Series,2018,False,TNT
16,the assassination of gianni versace: american crime story,Limited Series,2018,True,
17,genius: picasso,Limited Series,2018,False,
18,godless,Limited Series,2018,False,Netflix
19,patrick melrose,Limited Series,2018,False,Showtime
20,the daily show with trevor noah,Variety Talk Series,2018,False,Comedy Central
21,full frontal with samantha bee,Variety Talk Series,2018,False,TBS
22,jimmy kimmel live!,Variety Talk Series,2018,False,ABC
23,last week tonight with john oliver,Variety Talk Series,2018,True,HBO
24,the late late show with james corden,Variety Talk Series,2018,False,CBS
25,the late show with stephen colbert,Variety Talk Series,2018,False,CBS
26,at home with amy sedaris,Variety Sketch Series,2018,False,truTV
27,drunk history,Variety Sketch Series,2018,False,Comedy Central
28,love you america,Variety Sketch Series,2018,False,Hulu
29,portlandia,Variety Sketch Series,2018,False,IFC
30,saturday night live,Variety Sketch Series,2018,True,NBC
31,tracey ullman’s show,Variety Sketch Series,2018,False,
32,the amazing race,Reality Competition Series,2018,False,CBS
33,american ninja warrior,Reality Competition Series,2018,False,NBC
34,project runway,Reality Competition Series,2018,False,Lifetime
35,upaul’s drag race,Reality Competition Series,2018,True,
36,top chef,Reality Competition Series,2018,False,Bravo
37,the voice,Reality Competition Series,2018,False,NBC
38,the crown,"Lead Actress, Drama",2018,True,Netflix
39,orphan black,"Lead Actress, Drama",2018,False,BBC
