Index,Title,Awards,Year,is_winner
185,Feud: Bette and Joan,Limited Series,2017,FALSE
186,Genius,Limited Series,2017,FALSE
187,The Night Of,Limited Series,2017,FALSE
188,Black Mirror,TV Movie,2017,FALSE
189,Dolly Parton’s Christmas of Many Colors,TV Movie,2017,FALSE
190,The Immortal Life of Henrietta Lacks,TV Movie,2017,FALSE
191,Sherlock,TV Movie,2017,FALSE
192,The Wizard of Lies,TV Movie,2017,FALSE
193,Fargo,"Lead Actress, TV Movie/Limited Series",2017,FALSE
194,American Crime,"Lead Actress, TV Movie/Limited Series",2017,FALSE
195,Big Little Lies,"Lead Actress, TV Movie/Limited Series",2017,TRUE
196,Feud: Bette and Joan,"Lead Actress, TV Movie/Limited Series",2017,FALSE
197,Feud: Bette and Joan,"Lead Actress, TV Movie/Limited Series",2017,FALSE
198,Big Little Lies,"Lead Actress, TV Movie/Limited Series",2017,FALSE
199,The Night Of,"Lead Actor, TV Movie/Limited Series",2017,TRUE
200,Sherlock,"Lead Actor, TV Movie/Limited Series",2017,FALSE
201,The Wizard of Lies,"Lead Actor, TV Movie/Limited Series",2017,FALSE
202,Fargo,"Lead Actor, TV Movie/Limited Series",2017,FALSE
203,Genius,"Lead Actor, TV Movie/Limited Series",2017,FALSE
204,The Night Of,"Lead Actor, TV Movie/Limited Series",2017,FALSE
205,Atlanta,Comedy Series,2017,FALSE
206,Black-ish,Comedy Series,2017,FALSE
207,Master of None,Comedy Series,2017,FALSE
208,Modern Family,Comedy Series,2017,FALSE
209,Silicon Valley,Comedy Series,2017,FALSE
210,Unbreakable Kimmy Schmidt,Comedy Series,2017,FALSE
211,Veep,Comedy Series,2017,TRUE
212,Better Things,"Lead Actress, Comedy",2017,FALSE
213,Grace and Frankie,"Lead Actress, Comedy",2017,FALSE
214,Mom,"Lead Actress, Comedy",2017,FALSE
215,Unbreakable Kimmy Schmidt,"Lead Actress, Comedy",2017,FALSE
216,Veep,"Lead Actress, Comedy",2017,TRUE
217,Black-ish,"Lead Actress, Comedy",2017,FALSE
218,Grace and Frankie,"Lead Actress, Comedy",2017,FALSE
219,Black-ish,"Lead Actor, Comedy",2017,FALSE
220,Master of None,"Lead Actor, Comedy",2017,FALSE
221,Baskets,"Lead Actor, Comedy",2017,FALSE
222,Atlanta,"Lead Actor, Comedy",2017,TRUE
223,Shameless,"Lead Actor, Comedy",2017,FALSE
224,Transparent,"Lead Actor, Comedy",2017,FALSE
225,Full Frontal with Samantha Bee,Variety Talk Series,2017,FALSE
226,Jimmy Kimmel Live!,Variety Talk Series,2017,FALSE
227,Last Week Tonight with John Oliver,Variety Talk Series,2017,TRUE
228,The Late Late Show with James Corden,Variety Talk Series,2017,FALSE
229,The Late Show With Stephen Colbert,Variety Talk Series,2017,FALSE
230,Real Time with Bill Maher,Variety Talk Series,2017,FALSE
231,Drunk History,Directing for a Variety Special,2017,FALSE
232,Jimmy Kimmel Live!,Directing for a Variety Special,2017,FALSE
233,Last Week Tonight with John Oliver,Directing for a Variety Special,2017,FALSE
234,The Late Show With Stephen Colbert,The Late Show With Stephen Colbert,2017,FALSE
235,Saturday Night Live,Directing for a Variety Special,2017,TRUE
236,Big Little Lies,Writing for a TV Movie/Limited Series,2017,FALSE
237,Black Mirror,Black Mirror,2017,FALSE
238,Fargo,Writing for a TV Movie/Limited Series,2017,FALSE
239,Feud: Bette and Joan,Writing for a TV Movie/Limited Series,2017,FALSE
240,Feud: Bette and Joan,Writing for a TV Movie/Limited Series,2017,FALSE
241,The Night Of,Writing for a TV Movie/Limited Series,2017,FALSE
242,Better Call Saul,Directing for a Drama,2017,FALSE
243,The Crown,Directing for a Drama,2017,FALSE
244,The Handmaid’s Tale,Directing for a Drama,2017,TRUE
245,The Handmaid’s Tale,Directing for a Drama,2017,FALSE
246,Homeland,Directing for a Drama,2017,FALSE
247,Stranger Things,Directing for a Drama,2017,FALSE
248,Westworld,Directing for a Drama,2017,FALSE
249,The Amazing Race,Reality Competition Series,2017,FALSE
250,American Ninja Warrior,Reality Competition Series,2017,FALSE
251,Project Runway,Reality Competition Series,2017,FALSE
252,RuPaul’s Drag Race,Reality Competition Series,2017,FALSE
253,Top Chef,Reality Competition Series,2017,FALSE
254,The Voice,Reality Competition Series,2017,TRUE
255,Atlanta,Writing for a Comedy Series,2017,FALSE
256,Atlanta,Writing for a Comedy Series,2017,FALSE
257,Master of None,Writing for a Comedy Series,2017,TRUE
258,Silicon Valley,Writing for a Comedy Series,2017,FALSE
259,Veep,Writing for a Comedy Series,2017,FALSE
260,Veep,Writing for a Comedy Series,2017,FALSE
261,Orange Is the New Black,"Supporting Actress, Drama",2017,FALSE
262,Stranger Things,"Supporting Actress, Drama",2017,FALSE
263,The Handmaid’s Tale,"Supporting Actress, Drama",2017,FALSE
264,This Is Us,"Supporting Actress, Drama",2017,FALSE
265,Westworld,"Supporting Actress, Drama",2017,FALSE
266,The Handmaid’s Tale,"Supporting Actress, Drama",2017,TRUE
267,Full Frontal with Samantha Bee,Writing for a Variety Special,2017,FALSE
268,Last Week Tonight with John Oliver,Writing for a Variety Special,2017,TRUE
269,Late Night with Seth Meyers,Writing for a Variety Special,2017,FALSE
270,The Late Show With Stephen Colbert,Writing for a Variety Special,2017,FALSE
271,Saturday Night Live,Writing for a Variety Special,2017,FALSE
272,The Night Of,"Supporting Actor, TV Movie/Limited Series",2017,FALSE
273,Feud: Bette and Joan,"Supporting Actor, TV Movie/Limited Series",2017,FALSE
274,Big Little Lies,"Supporting Actor, TV Movie/Limited Series",2017,TRUE
275,Fargo,"Supporting Actor, TV Movie/Limited Series",2017,FALSE
276,Feud: Bette and Joan,"Supporting Actor, TV Movie/Limited Series",2017,FALSE
277,The Night Of,"Supporting Actor, TV Movie/Limited Series",2017,FALSE
278,Big Little Lies,Directing for a TV Movie/Limited Series,2017,TRUE
