index,title,awards,year,is_winner,channel
253,top chef,Reality Competition Series,2017,FALSE,Bravo
254,the voice,Reality Competition Series,2017,TRUE,NBC
255,atlanta,Writing for a Comedy Series,2017,FALSE,FX
256,atlanta,Writing for a Comedy Series,2017,FALSE,FX
257,master of none,Writing for a Comedy Series,2017,TRUE,Netflix
258,silicon valley,Writing for a Comedy Series,2017,FALSE,HBO
259,veep,Writing for a Comedy Series,2017,FALSE,HBO
260,veep,Writing for a Comedy Series,2017,FALSE,HBO
261,orange is the new black,"Supporting Actress, Drama",2017,FALSE,Netflix
262,stranger things,"Supporting Actress, Drama",2017,FALSE,Netflix
263,the handmaid’s tale,"Supporting Actress, Drama",2017,FALSE,
264,this is us,"Supporting Actress, Drama",2017,FALSE,ABC
265,westworld,"Supporting Actress, Drama",2017,FALSE,HBO
266,the handmaid’s tale,"Supporting Actress, Drama",2017,TRUE,
267,full frontal with samantha bee,Writing for a Variety Special,2017,FALSE,TBS
268,last week tonight with john oliver,Writing for a Variety Special,2017,TRUE,HBO
269,late night with seth meyers,Writing for a Variety Special,2017,FALSE,NBC
270,the late show with stephen colbert,Writing for a Variety Special,2017,FALSE,CBS
271,saturday night live,Writing for a Variety Special,2017,FALSE,NBC
272,the night of,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,HBO
273,feud: bette and joan,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,FX
274,big little lies,"Supporting Actor, TV Movie/Limited Series",2017,TRUE,HBO
275,fargo,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,FX
276,feud: bette and joan,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,FX
277,the night of,"Supporting Actor, TV Movie/Limited Series",2017,FALSE,HBO
278,big little lies,Directing for a TV Movie/Limited Series,2017,TRUE,HBO
279,fargo,Directing for a TV Movie/Limited Series,2017,FALSE,FX
280,feud: bette and joan,Directing for a TV Movie/Limited Series,2017,FALSE,FX
281,genius,Directing for a TV Movie/Limited Series,2017,FALSE,National Geographic
282,the night of,Directing for a TV Movie/Limited Series,2017,FALSE,HBO
283,the night of,Directing for a TV Movie/Limited Series,2017,FALSE,HBO
284,baskets,"Supporting Actor, Comedy",2017,FALSE,FX
285,saturday night live,"Supporting Actor, Comedy",2017,TRUE,NBC
286,unbreakable kimmy schmidt,"Supporting Actor, Comedy",2017,FALSE,Netflix
287,modern family,"Supporting Actor, Comedy",2017,FALSE,ABC
288,veep,"Supporting Actor, Comedy",2017,FALSE,HBO
289,veep,"Supporting Actor, Comedy",2017,FALSE,HBO
290,the americans,Writing for a Drama Series,2017,FALSE,FX
291,better call saul,Writing for a Drama Series,2017,FALSE,Netflix
292,the crown,Writing for a Drama Series,2017,FALSE,Netflix
293,the handmaid’s tale,Writing for a Drama Series,2017,TRUE,
294,stranger things,Writing for a Drama Series,2017,FALSE,Netflix
295,westworld,Writing for a Drama Series,2017,FALSE,HBO
296,billy on the street,Variety Sketch Series,2017,FALSE,truTV
297,documentary now!,Variety Sketch Series,2017,FALSE,IFC
298,drunk history,Variety Sketch Series,2017,FALSE,Comedy Central
299,portlandia,Variety Sketch Series,2017,FALSE,IFC
300,saturday night live,Variety Sketch Series,2017,TRUE,NBC
301,tracy ullman’s show,Variety Sketch Series,2017,FALSE,
